"tag","pop","firstDay","lastDay","Ecoord","Ncoord"
12243,"eelr",2012-06-25,2012-07-14,1563.9,1559.5
14583,"eelr",2012-06-28,2012-07-10,1384.33,1665.83
15086,"nwlf",2012-07-04,2012-07-17,18.07,12.26
15128,"eelr",2012-07-04,2012-07-15,1488.54,1609.33
17282,"nwlf",2012-07-03,2012-07-11,17.63,1.26
9520,"eelr",2012-06-25,2012-07-11,1518.27,1565
17203,"eelr",2012-07-06,2012-07-20,1391.69,1674.02
16598,"eelr",2012-06-29,2012-07-11,1399.16,1658.56
17302,"nwlf",2012-07-05,2012-07-11,17.87,13.19
15525,"nwlf",2012-06-28,2012-07-13,16.08,73.77
17099,"nwlf",2012-06-29,2012-07-10,18.41,42.19
14660,"eelr",2012-06-25,2012-07-08,1390.44,1661.15
7614,"eelr",2012-06-23,2012-07-03,1530.74,1565.82
8647,"eelr",2012-07-01,2012-07-15,1488.55,1616.42
1509,"eelr",2012-06-25,2012-07-08,1388.53,1584.22
17204,"eelr",2012-06-29,2012-07-08,1391.38,1673.8
16597,"eelr",2012-06-25,2012-07-06,1397.23,1659.56
16596,"eelr",2012-06-26,2012-07-06,1397.23,1659.56
9021,"eelr",2012-06-29,2012-07-09,1527.01,1566.32
17113,"eelr",2012-06-28,2012-07-08,1397.19,1653.61
17111,"eelr",2012-07-01,2012-07-12,1382.23,1663.93
16594,"eelr",2012-06-27,2012-07-08,1398.19,1661.48
9022,"eelr",2012-06-28,2012-07-11,1516.57,1567.75
17205,"eelr",2012-07-04,2012-07-16,1390.1,1673.88
17115,"eelr",2012-06-28,2012-07-08,1391.95,1667.03
7431,"nwlf",2012-06-28,2012-07-09,23.34,399.41
17139,"nwlf",2012-07-02,2012-07-09,24.04,85.29
15226,"eelr",2012-06-28,2012-07-12,1527.89,1566.69
16593,"eelr",2012-06-26,2012-07-05,1398.08,1661.5
17281,"eelr",2012-06-23,2012-07-05,1445.35,1639.37
15114,"eelr",2012-06-29,2012-07-08,1484.72,1612.38
9854,"nwlf",2012-06-30,2012-07-09,15.81,53.77
16599,"eelr",2012-06-23,2012-07-04,1400.65,1660.34
14582,"eelr",2012-06-27,2012-07-07,1393.49,1613.53
17114,"eelr",2012-06-29,2012-07-14,1386.29,1661.12
17217,"eelr",2012-07-13,2012-07-19,1410.87,1652.71
17319,"eelr",2012-06-24,2012-07-04,1411.83,1646.39
17002,"eelr",2012-06-24,2012-07-04,1409.85,1652.08
13086,"eelr",2012-06-30,2012-07-09,1515.61,1563.76
13042,"eelr",2012-06-22,2012-07-06,1529.19,1566.41
3370,"nwlf",2012-07-17,2012-07-30,1,1
17112,"eelr",2012-06-30,2012-07-07,1382.95,1658.47
10658,"eelr",2012-06-14,2012-07-01,1519.47,1564.36
17202,"eelr",2012-07-04,2012-07-14,1401.25,1668.88
17001,"nwlf",2012-06-27,2012-07-08,17.75,29.16
16600,"eelr",2012-06-28,2012-07-09,1401.73,1665.95
14378,"eelr",2012-06-26,2012-07-09,1393.5,1657.3
9582,"eelr",2012-06-30,2012-07-05,1528.72,1566.21
17285,"eelr",2012-06-29,2012-07-05,1446.21,1635.74
17301,"eelr",2012-07-01,2012-07-11,1380.59,1658.27
14593,"eelr",2012-06-29,2012-07-12,1390.09,1660.17
16595,"eelr",2012-06-20,2012-07-03,1398.4,1661
16592,"eelr",2012-06-20,2012-07-08,1389.47,1662.91
